,id,goog,count_all,count_rating,count_review,rating,picture,length,experience,period,locationid,time,period_ch,dum,did,ln_count_all,ln_count_rating,ln_count_review,ln_length,timedum_1,timedum_2,timedum_3,timedum_4,timedum_5,timedum_6,timedum_7,timedum_8,diddum_1,diddum_2,diddum_3,diddum_4,diddum_5,diddum_6,diddum_7,diddum_8,_est_ln_count_all
142,72.0,1,123.0,83.0,40.0,4.5609756,0.008130081,59.1,85.349594,2018M10,10,8.0,1.0,1.0,1.0,4.8121843,4.4188404,3.6888795,4.079231,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
143,72.0,0,4.0,4.0,4.0,4.0,0.75,335.0,189.5,2018M10,10,8.0,1.0,1.0,0.0,1.3862944,1.3862944,1.3862944,5.8141303,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
144,73.0,1,93.0,53.0,40.0,4.408602,0.0,81.55,58.698925,2017M07,11,1.0,0.0,0.0,0.0,4.5325994,3.9702919,3.6888795,4.4012165,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
145,73.0,0,7.0,7.0,7.0,4.142857,0.2857143,323.0,1202.0,2017M07,11,1.0,0.0,0.0,0.0,1.9459101,1.9459101,1.9459101,5.7776523,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
146,74.0,1,132.0,86.0,46.0,4.1666665,0.030303031,64.695656,26.886364,2017M08,11,2.0,0.0,0.0,0.0,4.882802,4.454347,3.8286414,4.169694,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
147,74.0,0,7.0,7.0,7.0,3.7142856,0.71428573,238.0,672.0,2017M08,11,2.0,0.0,0.0,0.0,1.9459101,1.9459101,1.9459101,5.4722705,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
148,75.0,1,170.0,115.0,55.0,4.352941,0.011764706,55.98182,40.317646,2017M09,11,3.0,0.0,0.0,0.0,5.1357985,4.744932,4.0073333,4.025027,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
149,75.0,0,7.0,7.0,7.0,4.0,0.5714286,258.7143,909.0,2017M09,11,3.0,0.0,0.0,0.0,1.9459101,1.9459101,1.9459101,5.555724,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
150,76.0,1,132.0,86.0,46.0,4.340909,0.0,61.52174,37.227272,2017M10,11,4.0,0.0,0.0,0.0,4.882802,4.454347,3.8286414,4.1193905,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
151,76.0,0,6.0,6.0,6.0,3.8333333,0.8333333,191.83333,291.33334,2017M10,11,4.0,0.0,0.0,0.0,1.7917595,1.7917595,1.7917595,5.256627,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
152,77.0,1,156.0,104.0,52.0,4.3910255,0.012820513,50.576923,33.73718,2018M07,11,5.0,1.0,1.0,1.0,5.049856,4.644391,3.9512436,3.9234955,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
153,77.0,0,5.0,5.0,5.0,4.0,0.8,240.0,838.0,2018M07,11,5.0,1.0,1.0,0.0,1.609438,1.609438,1.609438,5.480639,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
154,78.0,1,202.0,125.0,77.0,4.3960395,0.004950495,79.766235,87.11881,2018M08,11,6.0,1.0,1.0,1.0,5.3082676,4.828314,4.3438053,4.3791003,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
155,78.0,0,5.0,5.0,5.0,4.2,0.6,754.8,841.0,2018M08,11,6.0,1.0,1.0,0.0,1.609438,1.609438,1.609438,6.626453,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
156,79.0,1,166.0,106.0,60.0,4.566265,0.0,57.766666,35.746986,2018M09,11,7.0,1.0,1.0,1.0,5.1119876,4.6634393,4.0943446,4.0564117,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
157,79.0,0,8.0,8.0,8.0,4.0,0.5,276.875,1656.75,2018M09,11,7.0,1.0,1.0,0.0,2.0794415,2.0794415,2.0794415,5.623566,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
158,80.0,1,143.0,99.0,44.0,4.4335666,0.013986014,93.09091,48.545456,2018M10,11,8.0,1.0,1.0,1.0,4.962845,4.59512,3.7841897,4.5335765,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
159,80.0,0,9.0,9.0,9.0,4.3333335,0.8888889,389.8889,950.3333,2018M10,11,8.0,1.0,1.0,0.0,2.1972246,2.1972246,2.1972246,5.965862,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160,81.0,1,53.0,27.0,26.0,4.3207545,0.0,57.384617,104.81132,2017M07,12,1.0,0.0,0.0,0.0,3.9702919,3.295837,3.2580965,4.049776,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
161,81.0,0,4.0,4.0,4.0,4.25,0.75,380.0,2019.0,2017M07,12,1.0,0.0,0.0,0.0,1.3862944,1.3862944,1.3862944,5.9401712,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
162,82.0,1,49.0,27.0,22.0,4.4897957,0.08163265,59.68182,79.97959,2017M08,12,2.0,0.0,0.0,0.0,3.8918202,3.295837,3.0910425,4.0890274,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
163,82.0,0,6.0,6.0,6.0,3.8333333,0.8333333,246.0,1125.1666,2017M08,12,2.0,0.0,0.0,0.0,1.7917595,1.7917595,1.7917595,5.5053315,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
164,83.0,1,87.0,58.0,29.0,4.367816,0.011494253,59.0,76.63219,2017M09,12,3.0,0.0,0.0,0.0,4.465908,4.060443,3.3672957,4.0775375,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
165,83.0,0,11.0,11.0,11.0,4.3636365,0.8181818,246.45454,827.8182,2017M09,12,3.0,0.0,0.0,0.0,2.3978953,2.3978953,2.3978953,5.5071774,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
166,84.0,1,76.0,40.0,36.0,4.2763157,0.0,57.694443,71.789474,2017M10,12,4.0,0.0,0.0,0.0,4.3307333,3.6888795,3.583519,4.055161,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
167,84.0,0,13.0,13.0,13.0,4.230769,0.7692308,249.3077,454.84616,2017M10,12,4.0,0.0,0.0,0.0,2.5649493,2.5649493,2.5649493,5.5186877,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
168,85.0,1,182.0,127.0,55.0,4.445055,0.0,64.36364,32.64835,2018M07,12,5.0,1.0,1.0,1.0,5.2040067,4.8441873,4.0073333,4.164549,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
169,85.0,0,4.0,4.0,4.0,4.25,0.75,461.75,1464.5,2018M07,12,5.0,1.0,1.0,0.0,1.3862944,1.3862944,1.3862944,6.1350236,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
170,86.0,1,182.0,127.0,55.0,4.532967,0.010989011,60.69091,38.527473,2018M08,12,6.0,1.0,1.0,1.0,5.2040067,4.8441873,4.0073333,4.105794,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
171,86.0,0,3.0,3.0,3.0,4.0,0.33333334,247.0,1644.3334,2018M08,12,6.0,1.0,1.0,0.0,1.0986123,1.0986123,1.0986123,5.5093884,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
172,87.0,1,120.0,66.0,54.0,4.45,0.033333335,58.75926,60.458332,2018M09,12,7.0,1.0,1.0,1.0,4.787492,4.189655,3.988984,4.0734487,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
173,87.0,0,5.0,5.0,5.0,3.6,0.6,308.6,1333.6,2018M09,12,7.0,1.0,1.0,0.0,1.609438,1.609438,1.609438,5.732046,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
174,88.0,1,136.0,91.0,45.0,4.4558825,0.007352941,65.22222,36.65441,2018M10,12,8.0,1.0,1.0,1.0,4.912655,4.5108595,3.8066626,4.1778,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
175,88.0,0,5.0,5.0,5.0,4.0,0.6,227.0,1212.6,2018M10,12,8.0,1.0,1.0,0.0,1.609438,1.609438,1.609438,5.42495,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
